DocumentType,Document,Name,Surname,Email,ContributionDate,ContributionType,Quantity
LC,13456,Sofia,Doe,mrabeyfischer@frba.utn.edu.ar,15-06-2023,DINERO,100
LC,123456,Valentina,Doe,vvalmadreamoia@gmail.com,15-06-2023,DINERO,100
DNI,65432,Carlos,Rodriguez,carlos.rod@example.com,20-07-2023,DONACION_VIANDAS,50
LC,98765,Lucia,Gomez,lucia.gomez@example.com,05-08-2023,REDISTRIBUCION_VIANDAS,30
DNI,54321,Maria,Lopez,maria.lopez@example.com,10-09-2023,ENTREGA_TARJETAS,10
LC,45678,Juan,Perez,juan.perez@example.com,12-09-2023,DINERO,150
DNI,87654,Ana,Martinez,ana.martinez@example.com,18-09-2023,DONACION_VIANDAS,25
LC,32145,Rafael,Mendez,rafa.mendez@example.com,20-09-2023,REDISTRIBUCION_VIANDAS,40
DNI,98712,Pedro,Ruiz,pedro.ruiz@example.com,22-09-2023,DINERO,200
LC,65498,Elena,Santos,elena.santos@example.com,25-09-2023,ENTREGA_TARJETAS,15
DNI,45987,Isabel,Fernandez,isabel.fernandez@example.com,28-09-2023,DONACION_VIANDAS,60
LC,78932,Laura,Blanco,laura.blanco@example.com,30-09-2023,DINERO,250
DNI,12378,Jorge,Morales,jorge.morales@example.com,01-10-2023,REDISTRIBUCION_VIANDAS,35
LC,98721,Sergio,Gutierrez,sergio.gutierrez@example.com,03-10-2023,ENTREGA_TARJETAS,20
DNI,54329,Monica,Cruz,monica.cruz@example.com,05-10-2023,DONACION_VIANDAS,45
LC,45623,Nicolas,Silva,nicolas.silva@example.com,07-10-2023,DINERO,300
DNI,76543,Clara,Ortiz,clara.ortiz@example.com,09-10-2023,ENTREGA_TARJETAS,12
